Equipo,Ciudad,Estadio,Liga,region,Año_fundacion,Años_cantidad
AD Cafetalera Alto Amazonas,Cajaruro,Estadio Alto Amazonas,Copa Perú,Amazonas,1998.0,26.0
Agricobank San Lorenzo,Bagua,Estadio Manuel Mesones,Copa Perú,Amazonas,1963.0,61.0
Alfonso Ugarte,La Peca,Estadio Manuel Mesones,Copa Perú,Amazonas,1959.0,65.0
Alianza Polvorín,Aramango,Estadio Municipal de Aramango,Copa Perú,Amazonas,,
Bagua Grande FC,Bagua Grande,Estadio San Luis,Copa Perú,Amazonas,2013.0,11.0
Cultural Utcubamba,Bagua Grande,Estadio San Luis,Copa Perú,Amazonas,1964.0,60.0
Deportivo Hospital,Chachapoyas,Estadio Kuélap,Copa Perú,Amazonas,1972.0,52.0
Deportivo Municipal de Cajacuro,Cajaruro,Estadio Municipal de Cajaruro,Copa Perú,Amazonas,1975.0,49.0
Deportivo Municipal de Jazán,Jazán,Estadio Municipal de Pedro Ruíz Gallo,Copa Perú,Amazonas,1996.0,28.0
Deportivo Municipal de Mendoza,Mendoza,Estadio Mariscal Benavides,Copa Perú,Amazonas,1963.0,61.0
Deportivo Sachapuyos[2]​,Chachapoyas,Estadio Kuélap,Copa Perú,Amazonas,1953.0,71.0
Higos Urco[3]​,Chachapoyas,Estadio Kuélap,Copa Perú,Amazonas,1947.0,77.0
Juventud Dinámica Tushpuna[4]​,Chachapoyas,Estadio Kuélap,Copa Perú,Amazonas,1968.0,56.0
San Francisco de Asís,Lonya Grande,Estadio San Luis,Copa Perú,Amazonas,1946.0,78.0
Sporting Victoria[5]​,Bagua Grande,Estadio San Luis,Copa Perú,Amazonas,1964.0,60.0
Unión Comercial,Pedro Ruiz Gallo,Estadio Municipal de Pedro Ruíz Gallo,Copa Perú,Amazonas,1983.0,41.0
Unión Progreso,Yambrasbamba,Estadio Municipal de Pedro Ruíz Gallo,Copa Perú,Amazonas,,
Unión Santo Domingo,Chachapoyas,Estadio Kuélap,Copa Perú,Amazonas,1979.0,45.0
Unión Vencedores de Cajaruro,Cajaruro,Estadio Municipal de Cajaruro,Copa Perú,Amazonas,2016.0,8.0
Alianza Antabamba,Antabamba,Estadio Municipal de Antabamba,Copa Perú,Apurímac,1966.0,58.0
Alianza Ocobamba,Ocobamba,Estadio Municipal de Ocobamba,Copa Perú,Apurímac,1976.0,48.0
Alianza Talavera,Talavera,Estadio Los Chankas,Copa Perú,Apurímac,1971.0,53.0
Andahuaylas FC,Talavera,Estadio San Jerónimo,Copa Perú,Apurímac,2007.0,17.0
Deportivo Educación,Abancay,Estadio Monumental de Condebamba,Copa Perú,Apurímac,1972.0,52.0
Deportivo La Victoria,Abancay,Estadio Monumental de Condebamba,Copa Perú,Apurímac,1973.0,51.0
José María Arguedas,Andahuaylas,Estadio Los Chankas,Copa Perú,Apurímac,2004.0,20.0
Los Chankas,Andahuaylas,Estadio Los Chankas,Primera División,Apurímac,1990.0,34.0
Mariano Melgar,San Jerónimo,Estadio Los Chankas,Copa Perú,Apurímac,1971.0,53.0
Miguel Grau,Abancay,Estadio Monumental de Condebamba,Copa Perú,Apurímac,1955.0,69.0
Palmeiras de Pampahura,Huancarama,Estadio Mazingara de Huancarama,Copa Perú,Apurímac,2011.0,13.0
Social Barrio Alto,Antabamba,Estadio Municipal de Antabamba,Copa Perú,Apurímac,1961.0,63.0
Social El Olivo,Abancay,Estadio Monumental de Condebamba,Copa Perú,Apurímac,1962.0,62.0
Sport Municipal,San Jerónimo,Estadio Los Chankas,Copa Perú,Apurímac,1990.0,34.0
Unión Panamericana,Chalhuanca,Estadio Urubamba de Chalhuanca,Copa Perú,Apurímac,1974.0,50.0
ADC Santos,Jacobo Hunter,Estadio Juan Velasco Alvarado,Copa Perú,Arequipa,1961.0,63.0
Alfonso Ugarte[7]​,Mollendo,Estadio Municipal de Mollendo,Copa Perú,Arequipa,1938.0,86.0
Alianza Salaverry,Socabaya,Estadio El Bosque,Copa Perú,Arequipa,1960.0,64.0
Alianza San Isidro[8]​[9]​,Arequipa,Estadio Melgar,Copa Perú,Arequipa,1914.0,110.0
América Sport Club,Mollendo,Estadio Municipal de Mollendo,Copa Perú,Arequipa,1919.0,105.0
Aragonés Porongoche,Paucarpata,Estadio Máximo Carrasco Meza,Copa Perú,Arequipa,1955.0,69.0
Atlético Mollendo,Mollendo,Estadio Municipal de Mollendo,Copa Perú,Arequipa,1946.0,78.0
Atlético Pedregal,El Pedregal,Estadio Almirante Miguel Grau,Copa Perú,Arequipa,1992.0,32.0
Atlético Perú,Characato,Estadio José Carpio Alarcón,Copa Perú,Arequipa,1951.0,73.0
Atlético Simón Bolívar,Satélite,Estadio Simón Bolívar,Copa Perú,Arequipa,1967.0,57.0
Atlético Universidad,Arequipa,Estadio Monumental de la UNSA,Copa Perú,Arequipa,1964.0,60.0
Benfica,Alto Selva Alegre,Complejo Deportivo Alto Selva Alegre,Copa Perú,Arequipa,1968.0,56.0
Boca Juniors,Mollendo,Estadio Juan Carlos Oblitas,Copa Perú,Arequipa,1935.0,89.0
Boys Perú,Cerro Colorado,Estadio Arturo Díaz Huerta,Copa Perú,Arequipa,1958.0,66.0
Buenos Aires,Camaná,Estadio 9 de noviembre,Copa Perú,Arequipa,1935.0,89.0
Defensor Lima de Camaná,Camaná,Estadio 9 de noviembre,Copa Perú,Arequipa,1983.0,41.0
Defensor Villa Lourdes,Mollendo,Estadio Juan Carlos Oblitas,Copa Perú,Arequipa,1972.0,52.0
Deportivo Antiquilla,Yanahuara,Estadio Umacollo,Copa Perú,Arequipa,1954.0,70.0
Deportivo Camaná,Camaná,Estadio 9 de noviembre,Copa Perú,Arequipa,1950.0,74.0
Deportivo Earling Boys,Sachaca,Estadio Municipal Sachaca,Copa Perú,Arequipa,1947.0,77.0
Deportivo Estrella,Camaná,Estadio 9 de noviembre,Copa Perú,Arequipa,1928.0,96.0
Deportivo Islay,Mollendo,Estadio Municipal de Mollendo,Copa Perú,Arequipa,1957.0,67.0
Deportivo Mistiano,Arequipa,Estadio Melgar,Copa Perú,Arequipa,1919.0,105.0
Deportivo Olímpico,Camaná,Estadio 9 de noviembre,Copa Perú,Arequipa,1923.0,101.0
Deportivo Orcopampa,Orcopampa,Estadio Municipal de Orcopampa,Copa Perú,Arequipa,,
Deportivo Signos,Yura,Estadio Olímpico Ciudad de Dios,Copa Perú,Arequipa,,
Deportivo Trueno,Aplao,Estadio Luis Perochena Tassara,Copa Perú,Arequipa,1945.0,79.0
El Porvenir,Characato,Estadio José Carpio Alarcón,Copa Perú,Arequipa,1949.0,75.0
Estrella del Misti,Cayma,Estadio La Tomilla,Copa Perú,Arequipa,1933.0,91.0
FBC Aurora,Arequipa,Estadio Melgar,Copa Perú,Arequipa,1917.0,107.0
FBC Melgar,Arequipa,Estadio Monumental de la UNSA,Primera División,Arequipa,1915.0,109.0
FBC Ostende,Cerro Colorado,Estadio Arturo Díaz Huerta,Copa Perú,Arequipa,1922.0,102.0
FBC Piérola,Arequipa,Estadio Melgar,Copa Perú,Arequipa,1922.0,102.0
Futuro Majes,El Pedregal,Estadio Almirante Miguel Grau,Copa Perú,Arequipa,2001.0,23.0
Inclán Sport Club,Mollendo,Estadio Municipal de Mollendo,Copa Perú,Arequipa,1920.0,104.0
Independencia,Arequipa,Estadio Melgar,Copa Perú,Arequipa,1913.0,111.0
Independiente,Cocachacra,Estadio Benigno Pérez Málaga,Copa Perú,Arequipa,1935.0,89.0
Independiente de Corire,Corire,Estadio José A. Ricketts,Copa Perú,Arequipa,1943.0,81.0
Internacional,Arequipa,Estadio Melgar,Copa Perú,Arequipa,1895.0,129.0
Jorge Chávez Atico,Atico,Estadio Municipal de Atico,Copa Perú,Arequipa,1987.0,37.0
Juvenil Andino,Cayma,Estadio La Tomilla,Copa Perú,Arequipa,1933.0,91.0
Juvenil Bellapampa,Socabaya,Cancha de Toros de ACPATPA,Copa Perú,Arequipa,1956.0,68.0
Juvenil Huancarqui,Huancarqui,Estadio Municipal de Huancarqui,Copa Perú,Arequipa,1945.0,79.0
Juventus Corazón,Majes,Estadio Almirante Miguel Grau,Copa Perú,Arequipa,,
La Colina,El Pedregal,Estadio Almirante Miguel Grau,Copa Perú,Arequipa,2010.0,14.0
La Unión,Characato,Estadio José Carpio Alarcón,Copa Perú,Arequipa,1949.0,75.0
León del Sur,Arequipa,Estadio Melgar,Copa Perú,Arequipa,1938.0,86.0
Marítimo Sport Club,Mollendo,Estadio Municipal de Mollendo,Copa Perú,Arequipa,1923.0,101.0
Nacional FBC,Mollendo,Estadio Municipal de Mollendo,Copa Perú,Arequipa,1923.0,101.0
Primero de Mayo,Matarani,Estadio Juan Teodoro Medina,Copa Perú,Arequipa,1964.0,60.0
Rayo Chachani,Cerro Colorado,Estadio Arturo Díaz Huerta,Copa Perú,Arequipa,1943.0,81.0
Real Castilla,Cerro Colorado,Estadio Arturo Díaz Huerta,Copa Perú,Arequipa,1977.0,47.0
Real Madrid de Camaná,Camaná,Estadio 9 de noviembre,Copa Perú,Arequipa,1972.0,52.0
Rocket Boys,Huancarqui,Estadio Municipal de Huancarqui,Copa Perú,Arequipa,1962.0,62.0
Saetas de Oro,La Joya,Estadio Municipal de la Joya,Copa Perú,Arequipa,1975.0,49.0
San Jacinto FBC,Samuel Pastor,Estadio Raúl Gorriti Drago,Copa Perú,Arequipa,2014.0,10.0
San José,Socabaya,Cancha de Toros de ACPATPA,Copa Perú,Arequipa,1960.0,64.0
San Vicente,Corire,Estadio José A. Ricketts,Copa Perú,Arequipa,1931.0,93.0
Satélite Chico,José Luis Bustamante y Rivero,Estadio Simón Bolívar,Copa Perú,Arequipa,1985.0,39.0
Social Corire,Corire,Estadio José A. Ricketts,Copa Perú,Arequipa,1943.0,81.0
Social Deportivo Caravelí,Caravelí,Estadio Municipal de Caravelí,Copa Perú,Arequipa,1936.0,88.0
Sport Boys,Mollendo,Estadio Municipal de Mollendo,Copa Perú,Arequipa,1948.0,76.0
Sport Boys,Punta de Bombón,Estadio Municipal de Punta de Bombón,Copa Perú,Arequipa,1956.0,68.0
Sport Chucarapi,Cocachacra,Estadio Benigno Pérez Málaga,Copa Perú,Arequipa,1933.0,91.0
Sport José Granda,Camaná,Estadio 9 de noviembre,Copa Perú,Arequipa,1968.0,56.0
Sport Perú,Aplao,Estadio Luis Perochena Tassara,Copa Perú,Arequipa,1930.0,94.0
Sport San Martín,Mollendo,Estadio Municipal de Mollendo,Copa Perú,Arequipa,1969.0,55.0
Sport Victoria del Huayco,Uchumayo,Estadio Segundo Calderón Chávez,Copa Perú,Arequipa,1904.0,120.0
Sporting Cristal Churacapi,Cocachacra,Estadio Benigno Pérez Málaga,Copa Perú,Arequipa,1957.0,67.0
Sportivo Cosos,Aplao,Estadio Luis Perochena Tassara,Copa Perú,Arequipa,1926.0,98.0
Sportivo Huracán,Arequipa,Estadio Melgar,Copa Perú,Arequipa,1927.0,97.0
Temperley,José Luis Bustamante y Rivero,Estadio Melgar,Copa Perú,Arequipa,1978.0,46.0
Unión Beaterio,Yanahuara,Estadio Umacollo,Copa Perú,Arequipa,1949.0,75.0
Unión Bellavista,Sachaca,Estadio Municipal Sachaca,Copa Perú,Arequipa,1969.0,55.0
Unión Huarangal,Camaná,Estadio 9 de noviembre,Copa Perú,Arequipa,1976.0,48.0
Unión Libertad,Cerro Colorado,Estadio Arturo Díaz Huerta,Copa Perú,Arequipa,1945.0,79.0
Unión Minas,Orcopampa,Estadio Municipal de Orcopampa,Copa Perú,Arequipa,1980.0,44.0
Unión Salaverry,Uchumayo,Estadio Segundo Calderón Chávez,Copa Perú,Arequipa,1939.0,85.0
White Star,Arequipa,Estadio Melgar,Copa Perú,Arequipa,1918.0,106.0
Yanahuara,Arequipa,Estadio Melgar,Copa Perú,Arequipa,1932.0,92.0
Alianza Huamanga,Ayacucho,Estadio Ciudad de Cumaná,Copa Perú,Ayacucho,1955.0,69.0
Atlético Grau,Puquio,Estadio Jorge Castro Aguayo,Copa Perú,Ayacucho,1931.0,93.0
Ayacucho FC,Ayacucho,Estadio Ciudad de Cumaná,Segunda División,Ayacucho,2009.0,15.0
Cultural Huracán,Huanta,Estadio Municipal,Copa Perú,Ayacucho,1945.0,79.0
Defensor Tambo,Tambo,Estadio Municipal de Tambo,Copa Perú,Ayacucho,1944.0,80.0
Deportivo Cultural Ho Chi Minh,Carmen Alto,Estadio Hugo Sotil Yerén,Copa Perú,Ayacucho,1975.0,49.0
Deportivo Huáscar,Huamanga,Estadio Ciudad de Cumaná,Copa Perú,Ayacucho,1961.0,63.0
Deportivo Las Américas,San Juan el Bautista,Estadio Leoncio Prado,Copa Perú,Ayacucho,1982.0,42.0
Deportivo Municipal Santillana,Santillana,Estadio Municipal,Copa Perú,Ayacucho,2007.0,17.0
Deportivo Palmeiras,Ocros,Estadio San José Glorioso,Copa Perú,Ayacucho,1979.0,45.0
Deportivo Puquio,Puquio,Estadio Jorge Castro Aguayo,Copa Perú,Ayacucho,1931.0,93.0
Deportivo UNSCH,Ayacucho,Estadio Ciudad de Cumaná,Copa Perú,Ayacucho,1978.0,46.0
Estudiantes Unidos,Paccha,Estadio Ciudad de las Américas,Copa Perú,Ayacucho,1984.0,40.0
Juventud Gloria,Ayacucho,Estadio Ciudad de Cumaná,Copa Perú,Ayacucho,1971.0,53.0
Lolo Fernández,Puquio,Estadio Jorge Castro Aguayo,Copa Perú,Ayacucho,1955.0,69.0
Percy Berrocal,Ayacucho,Estadio Ciudad de Cumaná,Copa Perú,Ayacucho,1998.0,26.0
Player Villafuerte,Huanta,Estadio Municipal,Copa Perú,Ayacucho,2011.0,13.0
Social Magdalena,Ayacucho,Estadio Ciudad de Cumaná,Copa Perú,Ayacucho,1945.0,79.0
Social Progreso,Chaviña,Estadio Municipal de Chaviña,Copa Perú,Ayacucho,1929.0,95.0
Sol Naciente,Socos,Estadio Accocapillapata,Copa Perú,Ayacucho,1985.0,39.0
Sport Huamanga,Ayacucho,Estadio Ciudad de Cumaná,Copa Perú,Ayacucho,2002.0,22.0
Sport Huanta,Huanta,Estadio Municipal,Copa Perú,Ayacucho,2012.0,12.0
Sport Libertad,Sancos,Estadio Municipal de Sancos,Copa Perú,Ayacucho,1963.0,61.0
Sport San Pedro,Tambillo,Estadio Municipal de Tambillo,Copa Perú,Ayacucho,1954.0,70.0
Unión Lechemayo,Anco,Estadio Municipal de Anco,Copa Perú,Ayacucho,2000.0,24.0
Unión San Melchor,San Juan el Bautista,Estadio Las Américas,Copa Perú,Ayacucho,2007.0,17.0
ADA,Jaén,Estadio Victor Montoya Segura,Segunda División,Cajamarca,1953.0,71.0
Asociación Deportiva Corisorgona,Corisorgona,Estadio Corisorgona,Copa Perú,Cajamarca,1968.0,56.0
Asociación Deportiva Tugusa,Chiguirip,Estadio Municipal de Chiguirip,Copa Perú,Cajamarca,1990.0,34.0
CDC Sevilla,Celendín,Estadio Mártires 13 de Octubre,Copa Perú,Cajamarca,1969.0,55.0
Comerciantes Unidos,Cutervo,Estadio Juan Maldonado Gamarra,Primera División,Cajamarca,2003.0,21.0
Cultural Deportivo Chota,Chota,Estadio Ramón Castilla,Copa Perú,Cajamarca,1953.0,71.0
Cultural Rosario,Celendín,Estadio Mártires 13 de Octubre,Copa Perú,Cajamarca,1973.0,51.0
Cultural Santa Ana,Cajabamba,Estadio Germán Contreras Jara,Copa Perú,Cajamarca,1970.0,54.0
Cultural Volante,Bambamarca,Estadio El Frutillo,Copa Perú,Cajamarca,1973.0,51.0
Defensor Baños del Inca,Baños del Inca,Club del Pueblo,Copa Perú,Cajamarca,1963.0,61.0
Deportivo Bellavista,Bellavista,Estadio Municipal de Bellavista,Copa Perú,Cajamarca,1953.0,71.0
Deportivo Bracamoros,Jaén,Estadio Victor Montoya Segura,Copa Perú,Cajamarca,1957.0,67.0
Deportivo Calapacho,José Galvez,Estadio Municipal de José Gálvez,Copa Perú,Cajamarca,2011.0,13.0
Deportivo Champagnat,Cajamarca,Estadio Héroes de San Ramón,Copa Perú,Cajamarca,2009.0,15.0
Deportivo Hualgayoc,Hualgáyoc,Estadio José Gálvez Egúsquiza,Copa Perú,Cajamarca,1992.0,32.0
Deportivo Municipal de San Ignacio,San Ignacio,Estadio Defensores del Chaupe,Copa Perú,Cajamarca,1997.0,27.0
Deportivo Municipal de Tembladera,Tembladera,Estadio Jorge Díaz Torres,Copa Perú,Cajamarca,1948.0,76.0
Escuela Normal,Chota,Estadio Ramón Castilla,Copa Perú,Cajamarca,1971.0,53.0
Estrella Roja,Chota,Estadio Ramón Castilla,Copa Perú,Cajamarca,1966.0,58.0
Estrella Roja,San Ignacio,Estadio Defensores del Chaupe,Copa Perú,Cajamarca,1978.0,46.0
Estudiantes Casanovistas,Cutervo,Estadio Juan Maldonado Gamarra,Copa Perú,Cajamarca,1968.0,56.0
Estudiantil,Magdalena,El Monumental del Jequetepeque,Copa Perú,Cajamarca,1964.0,60.0
Huracán Tembladera,Tembladera,Estadio Jorge Díaz Torres,Copa Perú,Cajamarca,1953.0,71.0
Juventud Otuzco,Baños del Inca,Estadio Club del Pueblo,Copa Perú,Cajamarca,1974.0,50.0
Las Palmas,Chota,Estadio Ramón Castilla,Copa Perú,Cajamarca,2017.0,7.0
Lira Jesuense,Jesús,Estadio Dulce Nombre de Jesús,Copa Perú,Cajamarca,,
Los Inseparables,Cutervo,Estadio Juan Maldonado Gamarra,Copa Perú,Cajamarca,1960.0,64.0
Quingray Cruz,Cajabamba,Estadio Germán Contreras Jara,Copa Perú,Cajamarca,2014.0,10.0
Real JL,Cajamarca,Estadio Héroes de San Ramón,Copa Perú,Cajamarca,2013.0,11.0
San Cayetano,Celendín,Estadio Municipal de Celendín,Copa Perú,Cajamarca,1961.0,63.0
Sport Prado,Cajamarca,Estadio Héroes de San Ramón,Copa Perú,Cajamarca,2008.0,16.0
Sporting Caxamarca,Cajamarca,Estadio Héroes de San Ramón,Copa Perú,Cajamarca,1975.0,49.0
Unión Bambamarca,Bambamarca,Estadio El Frutillo,Copa Perú,Cajamarca,,
UTC,Cajamarca,Estadio Héroes de San Ramón,Primera División,Cajamarca,1965.0,59.0
Academia Cantolao,La Punta,Estadio Miguel Grau,Segunda División,Callao,1981.0,43.0
ADEBAMI,La Legua - Reynoso,Colegio Politécnico,Copa Perú,Callao,1990.0,34.0
Alfredo Tomassini,Ventanilla,Estadio Facundo Ramírez Aguilar,Copa Perú,Callao,1991.0,33.0
América Latina FBC,Bellavista,Estadio Gualberto Lizárraga,Copa Perú,Callao,1989.0,35.0
AE Belenianos,Ventanilla,Estadio Facundo Ramírez Aguilar,Copa Perú,Callao,1988.0,36.0
Atlético Chalaco,Callao,Colegio José Olaya,Copa Perú,Callao,1902.0,122.0
Atlético Deportivo Olímpico,Ventanilla,Estadio Facundo Ramírez Aguilar,Copa Perú,Callao,1964.0,60.0
Atlético Nacional,Ventanilla,Estadio Facundo Ramírez Aguilar,Copa Perú,Callao,1965.0,59.0
Atlético Satélite,Ventanilla,Estadio Facundo Ramírez Aguilar,Copa Perú,Callao,1964.0,60.0
Atlético Barrio Frigorífico,Callao,Colegio José Olaya,Copa Perú,Callao,1939.0,85.0
Cultural América,La Legua - Reynoso,Colegio Politécnico,Copa Perú,Callao,1951.0,73.0
Cultural Centella,La Legua - Reynoso,Colegio Politécnico,Copa Perú,Callao,1970.0,54.0
Cultural Peñarol,La Legua - Reynoso,Colegio Politécnico,Copa Perú,Callao,1964.0,60.0
Defensor Reynoso,La Legua - Reynoso,Colegio Politécnico,Copa Perú,Callao,1958.0,66.0
Defensor Tacna,La Perla,Estadio Gualberto Lizárraga,Copa Perú,Callao,1960.0,64.0
Deportivo AEB,Ventanilla,Estadio Facundo Ramírez Aguilar,Copa Perú,Callao,1988.0,36.0
Deportivo Colonial,Callao,Colegio José Olaya,Copa Perú,Callao,1940.0,84.0
Deportivo Faucett,La Legua - Reynoso,Colegio Politécnico,Copa Perú,Callao,1974.0,50.0
Deportivo Sima,Callao,Colegio José Olaya,Copa Perú,Callao,1961.0,63.0
Dynamo Callao,La Legua - Reynoso,Colegio Politécnico,Copa Perú,Callao,1968.0,56.0
Estrella Azul,Ventanilla,Estadio Facundo Ramírez Aguilar,Copa Perú,Callao,1974.0,50.0
Halcones de Dulanto,Callao,Estadio Manuel C. Dulanto,Copa Perú,Callao,1965.0,59.0
Hijos de Ventanilla,Ventanilla,Estadio Facundo Ramírez Aguilar,Copa Perú,Callao,2017.0,7.0
Hijos de Yurimaguas,Ventanilla,Estadio Facundo Ramírez Aguilar,Copa Perú,Callao,1967.0,57.0
Independiente Unión Chalaca,Callao,Estadio Manuel C. Dulanto,Copa Perú,Callao,2016.0,8.0
Íntimos de Reynoso,La Legua - Reynoso,Colegio Politécnico,Copa Perú,Callao,1965.0,59.0
José Gálvez,La Legua - Reynoso,Colegio Politécnico,Copa Perú,Callao,1965.0,59.0
José López Pazos,La Legua - Reynoso,Colegio Politécnico,Copa Perú,Callao,1957.0,67.0
Juventud La Perla,La Perla,Estadio Gualberto Lizárraga,Copa Perú,Callao,1956.0,68.0
Juventud Palmeiras,Mi Perú,Estadio Municipal de Mi Perú,Copa Perú,Callao,2002.0,22.0
KDT Nacional,Callao,Estadio Gualberto Lizárraga,Copa Perú,Callao,1931.0,93.0
Nuevo Callao,La Legua - Reynoso,Colegio Politécnico,Copa Perú,Callao,1953.0,71.0
Olímpico Callao,Callao,Estadio Manuel C. Dulanto,Copa Perú,Callao,1976.0,48.0
Pilsen Callao,Callao,Estadio Manuel C. Dulanto,Copa Perú,Callao,1976.0,48.0
San Judas Tadeo,Bellavista,Estadio Gualberto Lizárraga,Copa Perú,Callao,2013.0,11.0
Santa Marina Norte,Callao,Colegio José Olaya,Copa Perú,Callao,1959.0,65.0
Santo Domingo,Ventanilla,Estadio Facundo Ramírez Aguilar,Copa Perú,Callao,1948.0,76.0
Somos Aduanas,Bellavista,Estadio Gualberto Lizárraga,Copa Perú,Callao,1996.0,28.0
Sport Boys,Callao,Estadio Miguel Grau,Primera División,Callao,1928.0,96.0
Sport Callao,Callao,Estadio Colegio José Olaya,Copa Perú,Callao,2017.0,7.0
Sport Las Mercedes,Ventanilla,Estadio Facundo Ramírez Aguilar,Copa Perú,Callao,1956.0,68.0
Sportivo Huáscar,La Perla,Estadio Gualberto Lizárraga,Copa Perú,Callao,1934.0,90.0
Sucre Callao,Callao,Estadio Manuel C. Dulanto,Copa Perú,Callao,1955.0,69.0
Unión Fuerza Chalaca,Bellavista,Estadio Gualberto Lizárraga,Copa Perú,Callao,2016.0,8.0
ACD Imperio del Sur,Calca,Estadio Tomás E. Payne,Copa Perú,Cusco,2017.0,7.0
Alianza Zarzuela,Santiago,Estadio El Bosque de Ccoripata,Copa Perú,Cusco,1972.0,52.0
Agropecuario,Calca,Estadio Thomas E.Payne,Copa Perú,Cusco,1959.0,65.0
Agustín Gamarra,Izcuchaca,Estadio Municipal Alberto Díaz,Copa Perú,Cusco,,
Alfredo Salinas,Yauri,Estadio Municipal de Espinar,Copa Perú,Cusco,2012.0,12.0
Atlético Estrella,Oropesa,Estadio Municipal de Oropesa,Copa Perú,Cusco,,
Atlético Juventud Inclán,Calca,Estadio Thomas E. Payne,Copa Perú,Cusco,1993.0,31.0
Atlético Sicuani,Sicuani,Estadio Túpac Amaru,Copa Perú,Cusco,1937.0,87.0
Ciclón Manco Cápac,Wánchaq,Estadio José Santos Tamayo,Copa Perú,Cusco,1953.0,71.0
Cienciano,Cusco,Estadio Inca Garcilaso de la Vega,Primera División,Cusco,1901.0,123.0
Cultural Agropecuario,Velille,Estadio Pataccsillo de Velille,Copa Perú,Cusco,1961.0,63.0
Club Cultural Manco II,Quillabamba,Estadio Municipal de Quillabamba,Copa Perú,Cusco,1957.0,67.0
Cusco FC,Cusco,Estadio Inca Garcilaso de la Vega,Primera División,Cusco,2010.0,14.0
Defensor Espinar,Yauri,Estadio Municipal de Espinar,Copa Perú,Cusco,1972.0,52.0
Defensor Maranura,Maranura,Estadio Municipal de Maranura,Copa Perú,Cusco,1972.0,52.0
Defensor Mayohuaylla,Zurite,Estadio Tambo Real,Copa Perú,Cusco,1969.0,55.0
Defensor Yucay,Yucay,Estadio Municipal de Yucay,Copa Perú,Cusco,1973.0,51.0
Deportivo Garcilaso,Cusco,Estadio Inca Garcilaso de la Vega,Primera División,Cusco,1957.0,67.0
Deportivo Marquesado,Yucay,Estadio Municipal de Yucay,Copa Perú,Cusco,1969.0,55.0
Deportivo Municipal,Quillabamba,Estadio Municipal de Quillabamba,Copa Perú,Cusco,1948.0,76.0
Deportivo Palmeiras,Huayllabamba,Estadio Francisco Tamayo,Copa Perú,Cusco,1977.0,47.0
Deportivo Pumacahua,Sicuani,Estadio Túpac Amaru,Copa Perú,Cusco,1919.0,105.0
Deportivo Tintaya,Yauri,Estadio Túpac Amaru,Copa Perú,Cusco,1972.0,52.0
Deportivo Yanatile,Yanatile,Estadio Municipal de Yanatile,Copa Perú,Cusco,1985.0,39.0
Deportivo Yawar's,Ollantaytambo,Estadio Orccohuaranca,Copa Perú,Cusco,1982.0,42.0
Deportivo Yawarmayu,Santo Tomás,Estadio Municipal Santo Tomás,Copa Perú,Cusco,2010.0,14.0
Estudiantes Garcilaso,Wánchaq,Estadio José Santos Tamayo,Copa Perú,Cusco,1973.0,51.0
Humberto Luna,Calca,Estadio Tomás E. Payne,Copa Perú,Cusco,1927.0,97.0
Huracán Llaquepata,Taray,Estadio Municipal Taray,Copa Perú,Cusco,1988.0,36.0
Ingeniería Civil,Cusco,Estadio Universitario,Copa Perú,Cusco,1983.0,41.0
Juventud Progreso,Wánchaq,Estadio José Santos Tamayo,Copa Perú,Cusco,1987.0,37.0
Municipal de Pichari,Pichari,Estadio Monumental del VRAEM,Copa Perú,Cusco,1996.0,28.0
Olímpicos de Mask'a,Huanoquite,Estadio Leoncio Paz de Huanoquite,Copa Perú,Cusco,1980.0,44.0
Olímpicos de Zurite,Zurite,Estadio Tambo Real,Copa Perú,Cusco,1979.0,45.0
Pluma de Oro,San Jerónimo,Estadio Municipal de San Jerónimo,Copa Perú,Cusco,1984.0,40.0
Real Municipal,Coporaque,Estadio Municipal de Espinar,Copa Perú,Cusco,2004.0,20.0
River Plate,Ancahuasi,Estadio Municipal de Ancahuasi,Copa Perú,Cusco,1999.0,25.0
Salesianos,Cusco,Estadio Universitario,Copa Perú,Cusco,1971.0,53.0
Social Abancay,Cusco,Estadio Universitario,Copa Perú,Cusco,2002.0,22.0
Star Power,Oropesa,Estadio Municipal Silki,Copa Perú,Cusco,1983.0,41.0
Unión Alto Huarca,Coporaque,Estadio Municipal de Espinar,Copa Perú,Cusco,2012.0,12.0
Unión Juvenil,Huayllabamba,Estadio Francisco Tamayo,Copa Perú,Cusco,1966.0,58.0
Unión Porvenir,Coya,Estadio Municipal de Coya,Copa Perú,Cusco,1926.0,98.0
Unión Pumacahuina,Sicuani,Estadio Túpac Amaru,Copa Perú,Cusco,1943.0,81.0
Universitario del Cusco,Cusco,Estadio Universitario,Copa Perú,Cusco,1904.0,120.0
V.I.C.A.,Anta,Estadio Municipal Alberto Díaz,Copa Perú,Cusco,2010.0,14.0
Líder,Ollantaytambo,Estadio Orccohuaranca,Copa Perú,Cusco,1983.0,41.0
Centro Juventud Huaytará,Huaytará,Estadio Municipal de Huaytará,Copa Perú,Huancavelica,1938.0,86.0
Cultural Bolognesi,Huancavelica,Estadio Villa Rica de Oropesa,Copa Perú,Huancavelica,1976.0,48.0
Deportivo Cobra,Huancavelica,Estadio IPD de Huancavelica,Copa Perú,Huancavelica,1980.0,44.0
Diablos Rojos,Huancavelica,Estadio IPD de Huancavelica,Copa Perú,Huancavelica,1969.0,55.0
